URL,Size(Bytes),#Outlinks,Type
https://www.nytimes.com/,565966,149,text/html
https://www.nytimes.com/section/opinion/columnists,629408,56,text/html
https://www.nytimes.com/by/michelle-goldberg,293539,55,text/html
https://www.nytimes.com/2023/10/04/us/politics/house-speaker-replacement-jordan-scalise.html,222682,52,text/html
https://www.nytimes.com/2019/05/17/us/politics/jim-jordan-sexual-abuse-ohio-state.html,202777,43,text/html
https://www.nytimes.com/sitemap/2016/,74319,44,text/html
https://www.nytimes.com/sitemap/1905/,74319,44,text/html
https://www.nytimes.com/sitemap/yesterday/,201211,223,text/html
https://www.nytimes.com/sitemap/1997/,74319,44,text/html
https://www.nytimes.com/sitemap/1876/,74325,44,text/html
https://www.nytimes.com/sitemap/1985/,74325,44,text/html
https://www.nytimes.com/sitemap/1864/,74319,44,text/html
https://www.nytimes.com/sitemap/1973/,74319,44,text/html
https://www.nytimes.com/sitemap/1852/,74317,44,text/html
https://www.nytimes.com/sitemap/1961/,74325,44,text/html
https://www.nytimes.com/sitemap/1918/,74325,44,text/html
https://www.nytimes.com/sitemap/2015/,74325,44,text/html
https://www.nytimes.com/sitemap/2003/,74325,44,text/html
https://www.nytimes.com/sitemap/1899/,74325,44,text/html
https://www.nytimes.com/sitemap/1928/,74325,44,text/html
https://www.nytimes.com/sitemap/1916/,74325,44,text/html
https://www.nytimes.com/sitemap/1904/,74325,44,text/html
https://www.nytimes.com/sitemap/thisweek/,679759,905,text/html
https://www.nytimes.com/sitemap/1960/,74319,44,text/html
https://www.nytimes.com/sitemap/1887/,74319,44,text/html
https://www.nytimes.com/sitemap/1996/,74325,44,text/html
https://www.nytimes.com/sitemap/1875/,74325,44,text/html
https://www.nytimes.com/sitemap/1984/,74319,44,text/html
https://www.nytimes.com/sitemap/1863/,74325,44,text/html
https://www.nytimes.com/sitemap/1972/,74319,44,text/html
https://www.nytimes.com/sitemap/1851/,71501,36,text/html
https://www.nytimes.com/sitemap/1929/,74319,44,text/html
https://www.nytimes.com/sitemap/2002/,74319,44,text/html
https://www.nytimes.com/sitemap/2014/,74319,44,text/html
https://www.nytimes.com/sitemap/1939/,74325,44,text/html
https://www.nytimes.com/sitemap/1927/,74325,44,text/html
https://www.nytimes.com/sitemap/1915/,74319,44,text/html
https://www.nytimes.com/sitemap/1903/,74319,44,text/html
https://www.nytimes.com/sitemap/1971/,74319,44,text/html
https://www.nytimes.com/sitemap/1898/,74325,44,text/html
https://www.nytimes.com/sitemap/1886/,74325,44,text/html
https://www.nytimes.com/sitemap/1995/,74319,44,text/html
https://www.nytimes.com/sitemap/1874/,74319,44,text/html
https://www.nytimes.com/sitemap/1983/,74319,44,text/html
https://www.nytimes.com/sitemap/1862/,74319,44,text/html
https://www.nytimes.com/sitemap/2013/,74325,44,text/html
https://www.nytimes.com/sitemap/1902/,74319,44,text/html
https://www.nytimes.com/sitemap/2001/,74325,44,text/html
https://www.nytimes.com/sitemap/1938/,74325,44,text/html
https://www.nytimes.com/sitemap/1926/,74325,44,text/html
https://www.nytimes.com/sitemap/1914/,74319,44,text/html
https://www.nytimes.com/sitemap/1982/,74325,44,text/html
